"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
18,22,-0.00275379377956557,-0.242772990338074,0.970074838811946,-0.279447859699573,-0.232873216416311,0.931492865665244,-6.2415888164969e-05,0.970025398250071,0.243003544941319
18,19,-0.279447859699573,-0.232873216416311,0.931492865665244,-0.287320952932228,5.94016424761389e-05,0.957834341878491,-0.957826988698954,-0.000846358121702201,-0.287344294180035
19,5,-0.287320952932228,5.94016424761389e-05,0.957834341878491,-0.366582380297766,-2.59791343385587e-05,0.930385596288071,0.00124708455251614,0.999999087559485,0.000519288278167296
19,0,-0.366582380297766,-2.59791343385587e-05,0.930385596288071,-0.279447859699573,-0.232873216416311,0.931492865665244,-0.878175184491488,-0.33027023242832,-0.346020113454527
19,18,-0.279447859699573,-0.232873216416311,0.931492865665244,-0.287320952932228,5.94016424761389e-05,0.957834341878491,-0.957826988698954,-0.000846358121702201,-0.287344294180035
20,15,0.628721992121163,-0.188587379691282,0.754415921580628,0.957793635999494,-0.287456638968046,6.18802203022708e-05,0.287297170161054,0.957841490761821,-0.000120799927816732
20,21,0.957793635999494,-0.287456638968046,6.18802203022708e-05,0.919063759245388,-0.394108822334405,0.000206397490650504,-0.00030841314391799,-0.00124292742789737,-0.999999180006035
20,0,0.919063759245388,-0.394108822334405,0.000206397490650504,-0.00566911034464127,-0.351956675510854,0.935999123798333,0.372153726486312,0.868036484116126,0.328655238974925
20,22,-0.00566911034464127,-0.351956675510854,0.935999123798333,-0.00275379377956557,-0.242772990338074,0.970074838811946,0.999983901496903,-0.00177001403523611,0.00539108498790516
20,17,-0.00275379377956557,-0.242772990338074,0.970074838811946,0.628721992121163,-0.188587379691282,0.754415921580628,-2.18128680827378e-06,0.970139867945017,0.242546153584976
21,14,0.910748323245574,-0.273224496973672,-0.309654429903495,0.957793635999494,-0.287456638968046,6.18802203022708e-05,-0.287616116585792,-0.957745773602507,5.12507827811204e-05
21,20,0.957793635999494,-0.287456638968046,6.18802203022708e-05,0.919063759245388,-0.394108822334405,0.000206397490650504,-0.00030841314391799,-0.00124292742789737,-0.999999180006035
21,0,0.919063759245388,-0.394108822334405,0.000206397490650504,0.910748323245574,-0.273224496973672,-0.309654429903495,0.372153726486312,0.868036484116126,0.328655238974925
22,18,-0.00275379377956557,-0.242772990338074,0.970074838811946,-0.279447859699573,-0.232873216416311,0.931492865665244,-6.2415888164969e-05,0.970025398250071,0.243003544941319
22,0,-0.279447859699573,-0.232873216416311,0.931492865665244,-0.00566911034464127,-0.351956675510854,0.935999123798333,0.372153726486312,0.868036484116126,0.328655238974925
22,20,-0.00566911034464127,-0.351956675510854,0.935999123798333,-0.00275379377956557,-0.242772990338074,0.970074838811946,0.999983901496903,-0.00177001403523611,0.00539108498790516
